,Salary,Franchise,Lg,From,To,Yrs,G,W,L,PCT,Plyfs,Div,Conf,Champ
1,34682550,Atlanta Hawks,NBA,1950,2018,69,5470,2717,2753,0.497,46,11,0,1
2,33285709,Boston Celtics,NBA/BAA,1947,2018,72,5642,3329,2313,0.59,55,31,9,17
3,31269231,Brooklyn Nets,NBA/ABA,1968,2018,51,4140,1782,2358,0.43,26,5,2,2
4,29727900,Charlotte Hornets,NBA,1989,2018,28,2248,988,1260,0.44,10,0,0,0
5,29512900,Chicago Bulls,NBA,1967,2018,52,4215,2183,2032,0.518,35,9,6,6
6,28703704,Cleveland Cavaliers,NBA,1971,2018,48,3888,1829,2059,0.47,22,7,4,1
7,28530608,Dallas Mavericks,NBA,1981,2018,38,3068,1539,1529,0.502,21,3,2,1
8,28530608,Denver Nuggets,NBA/ABA,1968,2018,51,4140,2062,2078,0.498,33,10,0,0
9,28299399,Detroit Pistons,NBA/BAA,1949,2018,70,5532,2692,2840,0.487,41,11,5,3
10,27739975,Golden State Warriors,NBA/BAA,1947,2018,72,5638,2715,2923,0.482,34,11,4,5
11,27734405,Houston Rockets,NBA,1968,2018,51,4134,2172,1962,0.525,32,6,4,2
12,26243760,Indiana Pacers,NBA/ABA,1968,2018,51,4139,2123,2016,0.513,34,9,1,3
13,26153057,Los Angeles Clippers,NBA,1971,2018,48,3888,1562,2326,0.402,13,2,0,0
14,25686667,Los Angeles Lakers,NBA/BAA,1949,2018,70,5533,3296,2237,0.596,60,32,18,16
15,25289390,Memphis Grizzlies,NBA,1996,2018,23,1838,759,1079,0.413,10,0,0,0
16,2.50E+07,Miami Heat,NBA,1989,2018,30,2412,1255,1157,0.52,20,13,5,3
17,24773250,Milwaukee Bucks,NBA,1969,2018,50,4052,2069,1983,0.511,30,13,2,1
18,24599495,Minnesota Timberwolves,NBA,1990,2018,29,2330,925,1405,0.397,9,1,0,0
19,23962573,New Orleans Pelicans,NBA,2003,2018,16,1296,610,686,0.471,7,1,0,0
20,23775506,New York Knicks,NBA/BAA,1947,2018,72,5639,2761,2878,0.49,42,8,4,2
21,23775506,Oklahoma City Thunder,NBA,1968,2018,51,4134,2234,1900,0.54,30,11,4,1
22,23775506,Orlando Magic,NBA,1990,2018,29,2330,1116,1214,0.479,14,5,2,0
23,23775506,Philadelphia 76ers,NBA,1950,2018,69,5468,2806,2662,0.513,48,11,5,3
24,23500000,Phoenix Suns,NBA,1969,2018,50,4052,2167,1885,0.535,29,6,2,0
25,23112004,Portland Trail Blazers,NBA,1971,2018,48,3888,2081,1807,0.535,34,6,3,1
26,23112004,Sacramento Kings,NBA/BAA,1949,2018,70,5533,2523,3010,0.456,29,5,0,1
27,2.30E+07,San Antonio Spurs,NBA/ABA,1968,2018,51,4140,2492,1648,0.602,46,22,6,5
28,22642350,Toronto Raptors,NBA,1996,2018,23,1838,844,994,0.459,10,5,0,0
29,22642350,Utah Jazz,NBA,1975,2018,44,3560,1914,1646,0.538,27,9,2,0
30,22642350,Washington Wizards,NBA,1962,2018,57,4615,2096,2519,0.454,29,8,4,1
31,22642350,,,,,,,,,,,,,
32,22471910,,,,,,,,,,,,,
33,22471910,,,,,,,,,,,,,
34,22434783,,,,,,,,,,,,,
35,21974719,,,,,,,,,,,,,
36,21461010,,,,,,,,,,,,,
37,2.10E+07,,,,,,,,,,,,,
38,20566802,,,,,,,,,,,,,
39,20559599,,,,,,,,,,,,,
40,20061729,,,,,,,,,,,,,
41,2.00E+07,,,,,,,,,,,,,
42,19578455,,,,,,,,,,,,,
43,19508958,,,,,,,,,,,,,
44,19332500,,,,,,,,,,,,,
45,19301070,,,,,,,,,,,,,
46,1.90E+07,,,,,,,,,,,,,
47,18868625,,,,,,,,,,,,,
48,18868625,,,,,,,,,,,,,
49,18063850,,,,,,,,,,,,,
50,18063850,,,,,,,,,,,,,
51,17884176,,,,,,,,,,,,,
52,17884176,,,,,,,,,,,,,
53,17826150,,,,,,,,,,,,,
54,17765000,,,,,,,,,,,,,
55,17745894,,,,,,,,,,,,,
56,17190000,,,,,,,,,,,,,
57,17131148,,,,,,,,,,,,,
58,17000450,,,,,,,,,,,,,
59,1.70E+07,,,,,,,,,,,,,
60,1.70E+07,,,,,,,,,,,,,
61,16910113,,,,,,,,,,,,,
62,16698103,,,,,,,,,,,,,
63,16661641,,,,,,,,,,,,,
64,16500000,,,,,,,,,,,,,
65,16400000,,,,,,,,,,,,,
66,16400000,,,,,,,,,,,,,
67,1.60E+07,,,,,,,,,,,,,
68,1.60E+07,,,,,,,,,,,,,
69,1.60E+07,,,,,,,,,,,,,
70,15550000,,,,,,,,,,,,,
71,15500000,,,,,,,,,,,,,
72,15460675,,,,,,,,,,,,,
73,15453126,,,,,,,,,,,,,
74,15280000,,,,,,,,,,,,,
75,14814815,,,,,,,,,,,,,
76,14800000,,,,,,,,,,,,,
77,14796348,,,,,,,,,,,,,
78,14500000,,,,,,,,,,,,,
79,14275000,,,,,,,,,,,,,
80,14136364,,,,,,,,,,,,,
81,14112360,,,,,,,,,,,,,
82,14100000,,,,,,,,,,,,,
83,14041096,,,,,,,,,,,,,
84,1.40E+07,,,,,,,,,,,,,
85,13954000,,,,,,,,,,,,,
86,13788500,,,,,,,,,,,,,
87,13760000,,,,,,,,,,,,,
88,13618750,,,,,,,,,,,,,
89,13168750,,,,,,,,,,,,,
90,1.30E+07,,,,,,,,,,,,,
91,1.30E+07,,,,,,,,,,,,,
92,12943020,,,,,,,,,,,,,
93,12921348,,,,,,,,,,,,,
94,12782609,,,,,,,,,,,,,
95,12584270,,,,,,,,,,,,,
96,12500000,,,,,,,,,,,,,
97,12500000,,,,,,,,,,,,,
98,12307692,,,,,,,,,,,,,
99,12250000,,,,,,,,,,,,,
100,12236535,,,,,,,,,,,,,
101,12016854,,,,,,,,,,,,,
102,1.20E+07,,,,,,,,,,,,,
103,1.20E+07,,,,,,,,,,,,,
104,1.20E+07,,,,,,,,,,,,,
105,11825000,,,,,,,,,,,,,
106,11747890,,,,,,,,,,,,,
107,11600000,,,,,,,,,,,,,
108,11562500,,,,,,,,,,,,,
109,11422536,,,,,,,,,,,,,
110,1.10E+07,,,,,,,,,,,,,
111,1.10E+07,,,,,,,,,,,,,
112,10942762,,,,,,,,,,,,,
